product_id,product_name,category,price_usd,rating,reviews_count,best_seller_rank
B001,Wireless Bluetooth Earbuds,Electronics,29.99,4.5,12000,1
B002,Stainless Steel Water Bottle,Home & Kitchen,19.49,4.7,8500,2
B003,Portable Phone Charger 20000mAh,Electronics,39.99,4.4,22000,3
B004,4K Ultra HD Smart TV 55-inch,Electronics,399.99,4.6,5400,4
B005,Ergonomic Office Chair,Furniture,149.99,4.3,3200,5
B006,Nonstick Ceramic Frying Pan 12-inch,Home & Kitchen,24.99,4.6,6700,6
B007,LED Desk Lamp with USB Charging,Office Supplies,32.5,4.4,4100,7
B008,Fitness Smartwatch with Heart Rate Monitor,Sports & Outdoors,59.99,4.5,8900,8
B009,Noise-Cancelling Over-Ear Headphones,Electronics,79.99,4.2,5100,9
B010,Memory Foam Bed Pillow,Home & Kitchen,29.95,4.7,15000,10
B011,Waterproof Hiking Backpack 40L,Sports & Outdoors,54.99,4.5,2600,11
B012,Stainless Steel Chef’s Knife 8-inch,Kitchen,34.99,4.8,7200,12
B013,Robot Vacuum Cleaner with App Control,Home Appliances,179.99,4.3,4800,13
B014,Gaming Mechanical Keyboard RGB,Computers,69.99,4.6,9400,14
B015,Air Purifier with HEPA Filter,Home Appliances,99.99,4.4,3700,15
